      ESP Fit Center  367 is at  -1.950000 -0.300000  0.870385
      ESP Fit Center  368 is at  -1.950000 -0.300000  1.170385
      ESP Fit Center  369 is at  -1.950000 -0.300000  1.470385
      ESP Fit Center  370 is at  -1.950000 -0.300000  1.770385
      ESP Fit Center  371 is at  -1.950000 -0.300000  2.070385
      ESP Fit Center  372 is at  -1.950000  0.000000 -2.129615
      ESP Fit Center  373 is at  -1.950000  0.000000 -1.829615
      ESP Fit Center  374 is at  -1.950000  0.000000 -1.529615
      ESP Fit Center  375 is at  -1.950000  0.000000 -1.229615
      ESP Fit Center  376 is at  -1.950000  0.000000 -0.929615
      ESP Fit Center  377 is at  -1.950000  0.000000 -0.629615
      ESP Fit Center  378 is at  -1.950000  0.000000 -0.329615
      ESP Fit Center  379 is at  -1.950000  0.000000 -0.029615
      ESP Fit Center  380 is at  -1.950000  0.000000  0.270385
      ESP Fit Center  381 is at  -1.950000  0.000000  0.570385
      ESP Fit Center  382 is at  -1.950000  0.000000  0.870385
      ESP Fit Center  383 is at  -1.950000  0.000000  1.170385
      ESP Fit Center  384 is at  -1.950000  0.000000  1.470385
      ESP Fit Center  385 is at  -1.950000  0.000000  1.770385
      ESP Fit Center  386 is at  -1.950000  0.000000  2.070385
      ESP Fit Center  387 is at  -1.950000  0.300000 -2.429615
      ESP Fit Center  388 is at  -1.950000  0.300000 -2.129615
      ESP Fit Center  389 is at  -1.950000  0.300000 -1.829615
      ESP Fit Center  390 is at  -1.950000  0.300000 -1.529615
      ESP Fit Center  391 is at  -1.950000  0.300000 -1.229615
      ESP Fit Center  392 is at  -1.950000  0.300000 -0.929615
      ESP Fit Center  393 is at  -1.950000  0.300000 -0.629615
      ESP Fit Center  394 is at  -1.950000  0.300000 -0.329615
      ESP Fit Center  395 is at  -1.950000  0.300000 -0.029615
      ESP Fit Center  396 is at  -1.950000  0.300000  0.270385
      ESP Fit Center  397 is at  -1.950000  0.300000  0.570385
      ESP Fit Center  398 is at  -1.950000  0.300000  0.870385
      ESP Fit Center  399 is at  -1.950000  0.300000  1.170385
      ESP Fit Center  400 is at  -1.950000  0.300000  1.470385
      ESP Fit Center  401 is at  -1.950000  0.300000  1.770385
      ESP Fit Center  402 is at  -1.950000  0.300000  2.070385
      ESP Fit Center  403 is at  -1.950000  0.600000 -2.429615
      ESP Fit Center  404 is at  -1.950000  0.600000 -2.129615
      ESP Fit Center  405 is at  -1.950000  0.600000 -1.829615
      ESP Fit Center  406 is at  -1.950000  0.600000 -1.529615
      ESP Fit Center  407 is at  -1.950000  0.600000 -1.229615
      ESP Fit Center  408 is at  -1.950000  0.600000 -0.929615
      ESP Fit Center  409 is at  -1.950000  0.600000 -0.629615
      ESP Fit Center  410 is at  -1.950000  0.600000 -0.329615
      ESP Fit Center  411 is at  -1.950000  0.600000 -0.029615
      ESP Fit Center  412 is at  -1.950000  0.600000  0.270385
      ESP Fit Center  413 is at  -1.950000  0.600000  0.570385
      ESP Fit Center  414 is at  -1.950000  0.600000  0.870385
      ESP Fit Center  415 is at  -1.950000  0.600000  1.170385
      ESP Fit Center  416 is at  -1.950000  0.600000  1.470385
      ESP Fit Center  417 is at  -1.950000  0.600000  1.770385
      ESP Fit Center  418 is at  -1.950000  0.900000 -2.429615
      ESP Fit Center  419 is at  -1.950000  0.900000 -2.129615
      ESP Fit Center  420 is at  -1.950000  0.900000 -1.829615
      ESP Fit Center  421 is at  -1.950000  0.900000 -1.529615
      ESP Fit Center  422 is at  -1.950000  0.900000 -1.229615
      ESP Fit Center  423 is at  -1.950000  0.900000 -0.929615
      ESP Fit Center  424 is at  -1.950000  0.900000 -0.629615
      ESP Fit Center  425 is at  -1.950000  0.900000 -0.329615
      ESP Fit Center  426 is at  -1.950000  0.900000 -0.029615
      ESP Fit Center  427 is at  -1.950000  0.900000  0.270385
      ESP Fit Center  428 is at  -1.950000  0.900000  0.570385
      ESP Fit Center  429 is at  -1.950000  0.900000  0.870385
      ESP Fit Center  430 is at  -1.950000  0.900000  1.170385
      ESP Fit Center  431 is at  -1.950000  0.900000  1.470385
      ESP Fit Center  432 is at  -1.950000  0.900000  1.770385
      ESP Fit Center  433 is at  -1.950000  1.200000 -2.429615
      ESP Fit Center  434 is at  -1.950000  1.200000 -2.129615
      ESP Fit Center  435 is at  -1.950000  1.200000 -1.829615
